pond_id,region,date_of_data_collection,enrollment_mechanism,added_by,property_area_in_acres,pond_area_in_acres,depth_in_meters,status,measurements,culture_change,equipment,existing_practices,notes_(existing_practices),fertilizers_used,feed_type,feed_source,feed_brand_or_name,fish_source_(e.g._hatchery_name),notes
ara2_58b844c7,Eluru,06/03/2026,Organic,Chaitanya,7.0,5.5,1.8,Treatment,3,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Lime, Bleaching powder",DORB,National supplier,,Local farmers,
ara2_0206e1e9,Eluru,04/27/2026,Organic,Chaitanya,15.0,13.8,1.8,Treatment,6,Changed to Breed-out from grow-out in July 2026 ,They get water pumps on rent when needed,"Disease analysis by sending dead fish to lab, Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Lime",DORB,Local market,,Local farmers,
ara2_cde272ed,Eluru,04/27/2026,Organic,Chaitanya,15.0,13.9,1.8,Treatment,5,,They get water pumps on rent when needed,"Disease analysis by sending dead fish to lab, Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Lime",DORB,Local market,,Local farmers,
ara2_f7a5fc38,Eluru,04/27/2026,Organic,Chaitanya,20.0,17.8,1.8,Treatment,7,,1 water pump,"Disease analysis by sending dead fish to lab, Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Lime, Bleaching Powder",DORB,Local market,,Local farmers,
ara2_71e2b7b9,Eluru,04/27/2026,Organic,Chaitanya,50.0,46.0,1.8,Treatment,5,,"4 aerator, 2 water pump","Disease analysis by sending dead fish to lab, Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Lime, Bleaching powder",DORB,Local market,,Local farmers,
ara2_3c745150,Eluru,04/27/2026,Organic,Chaitanya,12.0,9.5,1.8,Treatment,7,,1 water pump,"Disease analysis by sending dead fish to lab, Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Cow Manure","DORB, Pelleted feed (floating)",Local market,,Local farmers,
ara2_2bd14b5a,Eluru,04/27/2026,Organic,Chaitanya,45.0,43.2,1.5,Treatment,7,,2 water pump,"Disease analysis by sending dead fish to lab, Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Cow Manure",DORB,Local market,,Local farmers,
ara2_2a44ce37,Eluru,07/01/2025,Organic,Praveen,12.0,11.2,1.5,Treatment,11,,"6 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_2538f5a6,Eluru,06/11/2025,Organic,Praveen,4.0,3.2,1.5,Treatment,20,,"5 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_7129732d,Eluru,06/11/2025,Organic,Praveen,54.0,48.0,1.5,Treatment,16,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_3dc6f12e,Eluru,06/11/2025,Organic,Praveen,57.0,51.0,1.5,Treatment,20,,"3 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_eb49c98d,Eluru,06/09/2025,Organic,Praveen,3.0,2.9,1.5,Treatment,21,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_807df397,Eluru,06/09/2025,Organic,Praveen,20.0,18.0,1.5,Treatment,16,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_32bcd752,Eluru,06/09/2025,Organic,Praveen,3.0,2.8,1.5,Treatment,17,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_05de0e1a,Eluru,06/09/2025,Organic,Praveen,4.0,3.6,1.5,Treatment,21,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_bdf1f578,Eluru,06/09/2025,Organic,Praveen,30.0,28.0,1.5,Treatment,19,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_844ff6fe,Eluru,06/09/2025,Organic,Praveen,14.0,12.5,1.5,Treatment,11,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_46acb0f4,Eluru,06/09/2025,Organic,Praveen,6.0,5.7,1.5,Treatment,14,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_8a05e891,Eluru,06/09/2025,Organic,Praveen,40.0,38.0,1.5,Treatment,9,,"4 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_2d47d0d8,Eluru,06/09/2025,Organic,Praveen,50.0,48.0,1.5,Treatment,9,,"5 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_176528d3,Eluru,06/03/2025,Organic,Praveen,16.0,15.0,1.5,Treatment,35,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,National supplier,,Local farmers,
ara2_45e1cde5,Eluru,06/03/2025,Organic,Praveen,31.0,29.0,1.5,Treatment,36,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,National supplier,,Local farmers,
ara2_b3d128ac,Eluru,06/03/2025,Organic,Praveen,50.0,44.0,1.5,Treatment,34,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,National supplier,,Local farmers,
ara2_cb98926f,Eluru,05/27/2025,Organic,Praveen,3.0,2.8,1.5,Treatment,16,,"3 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,National supplier,,Local farmers,
ara2_30c31874,Eluru,05/05/2025,Organic,Praveen,4.5,4.2,1.5,Treatment,19,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_586ab2f7,Eluru,05/05/2025,Organic,Praveen,4.0,3.5,1.5,Treatment,17,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_778970d8,Eluru,05/05/2025,Organic,Praveen,60.0,54.0,1.5,Treatment,21,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_c3a6ea5e,Eluru,05/05/2025,Organic,Praveen,40.0,38.0,1.5,Treatment,17,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_27387783,Eluru,05/05/2025,Organic,Praveen,10.0,8.5,1.5,Treatment,8,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_29c9448f,Eluru,03/24/2025,Organic,Praveen,9.0,8.0,1.5,Treatment,35,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,National supplier,,Local farmers,
ara2_f5dabd1c,Eluru,03/24/2025,Organic,Praveen,16.0,13.5,1.5,Treatment,52,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,National supplier,,Local farmers,
ara2_2e53f20a,Eluru,03/24/2025,Organic,Praveen,40.0,36.5,1.5,Treatment,51,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,National supplier,,Local farmers,
ara2_3c5dafd2,Eluru,03/19/2025,Organic,Praveen,10.0,9.5,1.5,Treatment,14,,2 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_33f93df9,Eluru,03/19/2025,Organic,Praveen,35.0,30.0,1.5,Treatment,9,,2 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_7b2b4994,Eluru,03/19/2025,Organic,Praveen,40.0,38.0,1.5,Treatment,8,,2 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_0f0eef00,Eluru,03/19/2025,Organic,Praveen,10.0,9.5,1.5,Treatment,17,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_ba07d622,Eluru,03/18/2025,Organic,Praveen,11.0,10.3,1.5,Treatment,14,,"1 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_fdcc3d9a,Eluru,03/17/2025,Organic,Praveen,15.0,13.5,1.5,Treatment,50,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_ef01d63e,Eluru,03/17/2025,Organic,Praveen,16.0,14.6,1.5,Treatment,50,,"2 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_b0a9aa2d,Eluru,03/12/2025,Organic,Praveen,40.0,37.5,1.5,Treatment,2,,2 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_0772ec50,Eluru,03/12/2025,Organic,Praveen,45.0,42.5,1.5,Treatment,31,,2 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_b001208b,Eluru,02/28/2025,Organic,Praveen,11.0,10.0,1.5,Treatment,29,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_8232649d,Eluru,02/25/2025,Organic,Praveen,40.0,38.5,1.5,Treatment,45,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,National supplier,,Local farmers,
ara2_71f6e8db,Eluru,02/24/2025,Organic,Praveen,12.0,10.5,1.5,Treatment,17,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_227eb8cd,Eluru,02/20/2025,Organic,Praveen,35.0,30.0,1.5,Treatment,9,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_163f5bc2,Eluru,02/14/2025,Organic,Praveen,25.0,22.0,1.5,Treatment,55,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_c15dc3a2,Eluru,02/14/2025,Organic,Praveen,30.0,28.5,1.5,Treatment,48,,"2 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_c4b7f174,Eluru,02/14/2025,Organic,Praveen,40.0,35.0,1.5,Treatment,48,,"3 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_c3cfe293,Eluru,02/14/2025,Organic,Praveen,25.0,21.5,1.5,Control,28,,"1 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_9103673b,Eluru,02/14/2025,Organic,Praveen,1.5,1.1,1.5,Treatment,30,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_d54330d5,Eluru,02/14/2025,Organic,Praveen,6.0,5.3,1.5,Treatment,34,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_1fcb01f6,Eluru,02/14/2025,Organic,Praveen,5.0,4.2,1.5,Treatment,34,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_c57f3380,Eluru,02/07/2025,Organic,Praveen,25.0,23.5,1.5,Treatment,13,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_148f1633,Eluru,02/06/2025,Organic,Praveen,11.0,10.5,1.5,Treatment,43,Changed to Grow out from Breed-out in May 2026,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_858b914c,Eluru,02/06/2025,Organic,Praveen,8.0,7.0,1.5,Treatment,41,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_3b2f3973,Eluru,02/06/2025,Organic,Praveen,22.0,19.5,1.5,Treatment,38,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_1fd0d0ae,Eluru,02/05/2025,Organic,Praveen,10.0,9.0,1.5,Treatment,14,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_3eab831e,Eluru,01/21/2025,Organic,Praveen,11.0,10.1,1.5,Treatment,31,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",DORB,National supplier,,Local farmers,
ara2_573a2826,Eluru,01/21/2025,Organic,Praveen,6.0,5.0,1.5,Treatment,25,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",DORB,National supplier,,Local farmers,
ara2_50841581,Eluru,01/21/2025,Organic,Praveen,22.0,20.0,1.5,Treatment,34,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",DORB,Local market,,Local farmers,
ara2_30440f64,Eluru,01/21/2025,PwC,Praveen,6.0,5.1,1.5,Treatment,4,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",DORB,National supplier,,Local farmers,
ara2_86d250a3,Eluru,01/21/2025,Organic,Praveen,50.0,45.0,1.5,Treatment,10,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,National supplier,,Local farmers,
ara2_b245aae1,Eluru,01/02/2025,Organic,Praveen,18.0,17.0,1.5,Treatment,38,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",DORB,Local market,,Local farmers,
ara2_c9cdacda,Eluru,01/02/2025,Organic,Praveen,22.0,19.0,1.5,Treatment,20,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",DORB,Local market,,Local farmers,
ara2_7a6ae57c,Eluru,01/02/2025,Organic,Praveen,50.0,43.0,1.5,Treatment,27,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",DORB,National supplier,,Local farmers,
ara2_1e1aa1ce,Eluru,01/02/2025,Organic,Praveen,8.0,7.7,1.5,Treatment,16,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",DORB,National supplier,,Local farmers,
ara2_2b34e28c,Eluru,12/20/2024,Organic,Praveen,25.0,22.5,1.5,Treatment,53,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_f0f921b2,Eluru,12/18/2024,Organic,Praveen,6.0,5.6,1.5,Treatment,41,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_2167f891,Eluru,12/11/2024,Organic,Praveen,2.0,1.5,1.5,Treatment,32,,,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",DORB,Local market,,Local farmers,
ara2_733d0028,Eluru,12/11/2024,Organic,Praveen,8.0,6.75,1.5,Treatment,45,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",DORB,Local market,,Local farmers,
ara2_95c4b2c4,Eluru,12/11/2024,Organic,Praveen,30.0,27.0,1.5,Treatment,73,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Urea",DORB,Local market,,Local farmers,
ara2_b32cef11,Eluru,11/09/2024,Organic,Praveen,26.0,24.7,1.5,Treatment,59,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Lime, Sanitizers, Tilapia medicine",DORB,National supplier,,Local farmers,
ara2_e14730af,Eluru,11/09/2024,Organic,Praveen,32.0,29.0,1.5,Treatment,59,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Lime, Sanitizers, Tilapia medicine",DORB,National supplier,,Local farmers,
ara2_4e2f7bb0,Eluru,11/09/2024,Organic,Praveen,34.0,32.5,1.5,Treatment,64,,1 water pump,"Weighing and measuring fish once a month, Water quality measurement during disease outbreak",,"Lime, Sanitizers, Tilapia medicine",DORB,National supplier,,Local farmers,
ara2_bf024850,Eluru,11/04/2024,Organic,Praveen,50.0,44.0,1.5,Control,28,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, DAP, Potash",DORB,Local market,,Local farmers,
ara2_70e56cfa,Eluru,10/05/2024,Organic,Praveen,5.5,5.0,1.5,Treatment,2,,"1 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Poultry manure, Cow manure",DORB,Local market,,Local farmers,
ara2_3a8fffae,Eluru,10/05/2024,Organic,Praveen,22.0,21.2,1.5,Treatment,29,,"2 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Poultry manure, Cow manure",DORB,Local market,,Local farmers,
ara2_10a5f8e4,Eluru,10/05/2024,Organic,Praveen,1.5,1.23,1.5,Treatment,16,,"1 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Poultry manure, Cow manure",DORB,Local market,,Local farmers,
ara2_4ce1c3bb,Eluru,10/05/2024,Organic,Praveen,2.0,1.35,1.5,Treatment,15,,"1 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Poultry manure, Cow dung",DORB,Local market,,Local farmers,
ara2_8cd29c44,Eluru,10/01/2024,Organic,Praveen,4.0,3.2,1.5,Treatment,2,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, Water probiotics (PS)",DORB,Local market,,Local farmers,
ara2_55de7689,Eluru,10/01/2024,Organic,Praveen,25.0,23.5,1.5,Treatment,54,,2 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, Water probiotics (PS)",DORB,Local market,,Local farmers,
ara2_06ad2d07,Eluru,10/01/2024,Organic,Praveen,18.0,16.8,1.5,Treatment,24,,2 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"Cow manure, Water probiotics (PS)",DORB,Local market,,Local farmers,
ara2_6452000e,Eluru,10/01/2024,Organic,Praveen,2.0,1.5,1.5,Treatment,46,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_c2394795,Eluru,10/01/2024,Organic,Praveen,7.0,6.3,1.5,Treatment,45,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Cow manure",DORB,Local market,,Local farmers,
ara2_c11a88c9,Eluru,09/18/2024,Organic,Praveen,30.0,28.7,1.5,Treatment,66,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash, Cow manure",DORB,National supplier,,Local farmers,
ara2_7dc637c3,Eluru,09/18/2024,Organic,Praveen,20.0,18.5,1.5,Treatment,44,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash, Cow manure",DORB,National supplier,,Local farmers,
ara2_aa21af30,Eluru,09/18/2024,Organic,Praveen,18.0,16.5,1.5,Treatment,61,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash, Cow manure",DORB,National supplier,,Local farmers,
ara2_771be42c,Eluru,09/18/2024,Organic,Praveen,9.0,8.0,1.5,Treatment,31,,2 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,Gromor,DORB,Local market,,Local farmers,
ara2_25585dd3,Eluru,09/18/2024,Organic,Praveen,50.0,47.5,1.5,Treatment,12,,"4 aerator, 2 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month, Pond preparation",,"Poultry waste, Cow dung",DORB,Local market,,Local farmers,
ara2_646bdcdb,Eluru,09/18/2024,Organic,Praveen,5.0,4.75,1.5,Treatment,40,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash, Cow manure","Pelleted feed (floating), Mash",Local market,,Local farmers,
ara2_0b1b03bb,Eluru,09/18/2024,Organic,Praveen,20.0,17.3,1.5,Treatment,38,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash. Urea, Cow manure",DORB,National supplier,,Local farmers,
ara2_0e392abc,Eluru,09/13/2024,Organic,Praveen,20.0,18.8,1.5,Treatment,24,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash, Urea, Cow manure",DORB,National supplier,,Local farmers,
ara2_f17bbe2f,Eluru,09/13/2024,Organic,Praveen,10.0,9.0,1.5,Treatment,63,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Potash, Cow manure",DORB,National supplier,,Local farmers,
ara2_8190e6ec,Eluru,09/13/2024,Organic,Praveen,5.0,3.7,1.5,Treatment,43,Changed to grow-out from rearing in June 2026,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Urea, Potash, Cow manure","Pelleted feed (floating), Mash",Local market,,Local farmers,
ara2_d8f6a2aa,Eluru,09/13/2024,Organic,Praveen,30.0,27.0,1.5,Treatment,83,,1 water pump,"Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash, Urea, Cow manure",DORB,National supplier,,Local farmers,
ara2_4b816656,Eluru,09/13/2024,Organic,Praveen,3.5,3.3,1.5,Treatment,12,,"6 aerator, 1 water pump","Water quality measurement during disease outbreak, Weighing and measuring fish once a month",,"DAP, Potash, Cow manure",Pelleted feed (floating),Local market,Nexgen,Local farmers,Species ratio refers to Roopchand: Rohu: Catla
