pond_id,region,event_date,initial_entry,pond_status,type,logged_by,data_verification_method,data_verified_by,data_verification_notes,lifecycle,current_fish_stocking_density_per_acre,current_shrimp_stocking_density_per_acre,species,species_ratio,reported_target_weight_in_grams,communicated_stock_density_limit,average_fish_weight_(in_grams),average_weight_of_catla_(catla_catla)_(in_grams),average_weight_of_rohu_(labeo_rohita)_(in_grams),average_weight_of_mrigal_(cirrhinus_cirrhosus)_(in_grams),average_weight_of_grass_carp_(ctenopharyngodon_idella)_(in_grams),average_weight_of_common_carp_(cyprinus_carpio)_(in_grams),average_weight_of_roopchand_(in_grams),average_weight_of_whiteleg_shrimp_(litopenaeus_vannamei)_(in_grams),average_weight_of_pangasius_(in_grams),intended_fish_stocking_density_(per_acre),intended_fish_stocking_density_(entire_pond),actual_fish_stocking_density_(per_acre),fish_stocking_density_(entire_pond),fish_purchases_diverted,intended_shrimp_stocking_density_(per_acre),intended_shrimp_stocking_density_(entire_pond),actual_shrimp_stocking_density_(per_acre),actual_shrimp_stocking_density_(entire_pond),shrimp_purchases_diverted,did_the_farmer_do_pond_preparation?,explain_what_the_farmer_did_for_pond_preparation,harvest_reason,"fish_harvested_(total,_in_kg)","shrimp_harvested_(total,_in_kg)","fish_left_in_the_pond_(total,_in_individuals)","shrimp_left_in_the_pond_(total,_in_individuals)",is_the_farmer_planning_to_do_pond_preparation?,explain_what_the_farmer_is_planning_to_do_for_pond_preparation,notes,lifecycle_is_updated_accordingly_on_the_master_doc,created_at,event_date_parsed,type_clean,species_clean,is_shrimp_species,is_stocking_event,is_harvest_event
ara2_7ed0eacc,Nellore,09/25/2022,No,Treatment,Stocking,Chandu,,,,,3700.0,0.0,"Rohu (Labeo rohita), Catla (Catla catla), Roopchand",,,,,,,,,,,,,,,3700.0,,,,,0.0,,,No,,,,,,,,,,,12/15/2023 11:42,2022-09-25,stocking,"rohu (labeo rohita), catla (catla catla), roopchand",False,True,False
ara2_bd12b267,Nellore,08/25/2022,No,Treatment,Stocking,Chandu,,,,,2500.0,34666.0,"Rohu (Labeo rohita), Catla (Catla catla), Whiteleg Shrimp (Litopenaeus vannamei)",,,,,,,,,,,,,3000,,2500.0,,1180.0,,,34666.0,,,Yes,Sun dried the pond bottom and added lime and bleach.,,,,,,,,"Stocked 7000 Rohu and 500 Catla, bought 80,000 shrimp and got 24,000 as bonus and stocked in 3 acre pond.",,12/15/2023 11:42,2022-08-25,stocking,"rohu (labeo rohita), catla (catla catla), whiteleg shrimp (litopenaeus vannamei)",True,True,False
ara2_237abe57,Nellore,08/21/2022,No,Treatment,Partial stocking,Chandu,,,,,0.0,70000.0,Whiteleg Shrimp (Litopenaeus vannamei),,,,,,,,,,,,,,,,,,,,70000.0,,,Yes,Sun dried the pond bottom and add lime,,,,,,,,,,12/15/2023 11:42,2022-08-21,partial stocking,whiteleg shrimp (litopenaeus vannamei),True,True,False
ara2_98d96403,Nellore,08/17/2022,No,Treatment,Stocking,Chandu,,,,,3000.0,0.0,Roopchand,,,,,,,,,,,,,3000,,3000.0,,0.0,0.0,,0.0,,,No,,,,,,,,,,,12/15/2023 11:42,2022-08-17,stocking,roopchand,False,True,False
ara2_0d53cd07,Nellore,08/17/2022,No,Treatment,Stocking,Chandu,,,,,3000.0,0.0,Roopchand,,,,,,,,,,,,,3000,,3000.0,,0.0,0.0,,0.0,,,No,,,,,,,,,Bought Roopchand fish from a neighboring farmer who is discontinuing his culture.,,12/15/2023 11:42,2022-08-17,stocking,roopchand,False,True,False
ara2_5a3d15dd,Nellore,08/04/2022,No,Treatment,Stocking,Chandu,,,,,,80000.0,Whiteleg Shrimp (Litopenaeus vannamei),,,,,,,,,,,,,,,,,,,,80000.0,,,Yes,Pond dried,,,,,,,,,,12/15/2023 11:42,2022-08-04,stocking,whiteleg shrimp (litopenaeus vannamei),True,True,False
ara2_cf4e9f1b,Nellore,07/27/2022,No,Treatment,Stocking,Chandu,,,,,0.0,150000.0,Whiteleg Shrimp (Litopenaeus vannamei),,,,,,,,,,,,,,,,,,,,150000.0,,,Yes,"Sun dried the pond bottom, ploughed the pond bottom and added organic fertilizer",,,,,,,,,,12/15/2023 11:42,2022-07-27,stocking,whiteleg shrimp (litopenaeus vannamei),True,True,False
ara2_ea9c93a5,Nellore,07/25/2022,No,Treatment,Stocking,Chandu,,,,,3090.0,70909.0,"Rohu (Labeo rohita), Catla (Catla catla), Whiteleg Shrimp (Litopenaeus vannamei)",,,,,,,,,,,,,,,3090.0,,,,,70909.0,,,No,,,,,,,,,,,12/15/2023 11:42,2022-07-25,stocking,"rohu (labeo rohita), catla (catla catla), whiteleg shrimp (litopenaeus vannamei)",True,True,False
ara2_3587929e,Nellore,05/27/2022,No,Treatment,Partial stocking,Chandu,,,,,2250.0,75000.0,Whiteleg Shrimp (Litopenaeus vannamei),,,,,,,,,,,,,,,,,,,,75000.0,,,No,,,,,,,,,,,12/15/2023 11:42,2022-05-27,partial stocking,whiteleg shrimp (litopenaeus vannamei),True,True,False
ara2_78cbfd0d,Nellore,05/27/2022,No,Treatment,Partial stocking,Chandu,,,,,2800.0,30000.0,Whiteleg Shrimp (Litopenaeus vannamei),,,,,,,,,,,,,,,,,,,,75000.0,,,,,,,,,,,,,,12/15/2023 11:42,2022-05-27,partial stocking,whiteleg shrimp (litopenaeus vannamei),True,True,False
ara2_c5671cf4,Nellore,05/01/2022,No,Control,Stocking,Chandu,,,,,3333.0,66666.0,"Rohu (Labeo rohita), Catla (Catla catla), Whiteleg Shrimp (Litopenaeus vannamei)",,,,,,,,,,,,,,,3333.0,,,,,66666.0,,,Yes,Sun dry the pond the pond bottom and added lime and gypsum.,,,,,,,,,,12/15/2023 11:42,2022-05-01,stocking,"rohu (labeo rohita), catla (catla catla), whiteleg shrimp (litopenaeus vannamei)",True,True,False
ara2_039a9ccb,Nellore,04/21/2022,No,Treatment,Stocking,Chandu,,,,,480.0,80000.0,"Rohu (Labeo rohita), Catla (Catla catla), Whiteleg Shrimp (Litopenaeus vannamei), Pangasius",,,,,,,,,,,,,,,480.0,,,,,80000.0,,,Yes,"Sun dry pond bottom, strengthened dykes, ploughing, add lime and bleach.",,,,,,,,,,12/15/2023 11:42,2022-04-21,stocking,"rohu (labeo rohita), catla (catla catla), whiteleg shrimp (litopenaeus vannamei), pangasius",True,True,False
ara2_3587929e,Nellore,03/04/2022,No,Treatment,Partial stocking,Chandu,,,,,2250.0,80000.0,Whiteleg Shrimp (Litopenaeus vannamei),,,,,,,,,,,,,,,,,,,,80000.0,,,,,,,,,,,,"2250 Fish per acre
80000 Shrimp per acre.

The 40,000 shrimp stocked in January didn`t survive, so the farmer stocked again.",,12/15/2023 11:42,2022-03-04,partial stocking,whiteleg shrimp (litopenaeus vannamei),True,True,False
ara2_65a854d9,Nellore,03/04/2022,No,Treatment,Stocking,Chandu,,,,,2666.0,36363.0,Whiteleg Shrimp (Litopenaeus vannamei),,,,,,,,,,,,,,,,,,,,36363.0,,,No,,,,,,,,,Stocked 2 lakhs shrimp in a pond of 5.5 acres,,12/15/2023 11:42,2022-03-04,stocking,whiteleg shrimp (litopenaeus vannamei),True,True,False
ara2_bddfa227,Nellore,03/01/2022,No,Treatment,Stocking,Chandu,,,,,1550.0,45500.0,"Rohu (Labeo rohita), Catla (Catla catla), Whiteleg Shrimp (Litopenaeus vannamei)",,,,,,,,,,,,,,,1550.0,,,,,45500.0,,,Yes,"Sun dried the pond bottom, ploughed the pond, strengthened the dykes and added lime and bleach.",,,,,,,,"Fish 1550 per acre Rohu 1500, Catla 50
Shrimp 45500 per acre
",,12/15/2023 11:42,2022-03-01,stocking,"rohu (labeo rohita), catla (catla catla), whiteleg shrimp (litopenaeus vannamei)",True,True,False
ara2_78cbfd0d,Nellore,02/27/2022,No,Treatment,Stocking,Chandu,,,,Grow-out,2800.0,60000.0,Whiteleg Shrimp (Litopenaeus vannamei),,,,,,,,,,,,,,,,,,,,60000.0,,,,,,,,,,,,"Pond 2.5 acres
Fish - 7000, 2800 per acre
Shrimp - 150000, 60000 per acre

Shrimp died after and he thus restocked shrimp in May 2022.",,12/15/2023 11:42,2022-02-27,stocking,whiteleg shrimp (litopenaeus vannamei),True,True,False
ara2_407f70f7,Nellore,01/20/2022,No,Treatment,Stocking,Chandu,,,,,2600.0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,,,,,,,,,,,,2600.0,,,,,0.0,,,No,,,,,,,,,"2450 Rohu
150 Catla",,12/15/2023 11:42,2022-01-20,stocking,"rohu (labeo rohita), catla (catla catla)",False,True,False
ara2_3587929e,Nellore,01/13/2022,No,Treatment,Stocking,Chandu,,,,,2250.0,40000.0,"Rohu (Labeo rohita), Catla (Catla catla), Whiteleg Shrimp (Litopenaeus vannamei)",,,,,,,,,,,,,,,2250.0,,,,,40000.0,,,No,,,,,,,,,"2200 Rohu and 50 Catla and 40000 shrimp were added in 1 acre pond. Cost incurred 14800 for fish and 12000 for shrimp.

These 40,000 shrimp did not survive. Probably died February 15.",,12/15/2023 11:42,2022-01-13,stocking,"rohu (labeo rohita), catla (catla catla), whiteleg shrimp (litopenaeus vannamei)",True,True,False
ara2_44e030ef,Nellore,12/28/2021,No,Treatment,Stocking,Chandu,,,,,2285.0,,"Rohu (Labeo rohita), Roopchand",,,,,,,,,,,,,,,2285.0,,,,,0.0,,,No,,,,,,,,,3000 Roopchand and 5000 Rohu were added in 3.5 acres pond.,,12/15/2023 11:42,2021-12-28,stocking,"rohu (labeo rohita), roopchand",False,True,False
ara2_bddfa227,Nellore,11/10/2021,No,Treatment,Stocking,Chandu,,,,,1550.0,40000.0,"Rohu (Labeo rohita), Catla (Catla catla), Grass Carp (Ctenopharyngodon idella), Whiteleg Shrimp (Litopenaeus vannamei)",,,,,,,,,,,,,,,1550.0,,,,,40000.0,,,Yes,"Sun dry the pond bottom, plough and add lime and bleach.",,,,,,,,,,12/15/2023 11:42,2021-11-10,stocking,"rohu (labeo rohita), catla (catla catla), grass carp (ctenopharyngodon idella), whiteleg shrimp (litopenaeus vannamei)",True,True,False
ara2_5a3d15dd,Nellore,10/15/2021,No,Treatment,Partial stocking,Chandu,,,,,3000.0,100000.0,Whiteleg Shrimp (Litopenaeus vannamei),,,,,,,,,,,,,,,,,,100000.0,,100000.0,,0.0,No,,,,,,,,,,,12/15/2023 11:42,2021-10-15,partial stocking,whiteleg shrimp (litopenaeus vannamei),True,True,False
ara2_407f70f7,Nellore,06/04/2021,No,Treatment,Stocking,Vivek,,,,,2500.0,,"Rohu (Labeo rohita), Catla (Catla catla), Whiteleg Shrimp (Litopenaeus vannamei)",,,,,,,,,,,,,,,2500.0,,,150000.0,,120000.0,,0.0,,,,,,,,,,This data has been entered from the old Expansion Data Collection Nellore sheet to Jotform on 04/13/2022,,12/15/2023 11:42,2021-06-04,stocking,"rohu (labeo rohita), catla (catla catla), whiteleg shrimp (litopenaeus vannamei)",True,True,False
