pond_id,region,date_of_data_collection,time_of_data_collection,type,do_(mg_l),ph,temp_(in_°c),ammonia—nh3_(mg_l),ammonia—tan_(nh3_n)_(mg_l),ammonia—tan_(nh3)_(mg_l),tds_(ppt),turbidity_(in_cm),feed_amount_(kg),stocking_density_(per_acre),species,weight,is_wq_in_range?,measurement_datetime
ara2_27b80a16,Eluru,08/03/2026,16:13,Evening,11.7,8.28,30.0,,,,,,,2635.0,"Rohu (Labeo rohita), Catla (Catla catla)",1000.0,Yes,2026-08-03 16:13:00
ara2_8b32e1c5,Eluru,08/03/2026,16:03,Evening,11.6,8.2,29.9,,,,,,,2826.0,"Rohu (Labeo rohita), Catla (Catla catla)",800.0,Yes,2026-08-03 16:03:00
ara2_0ac139b5,Eluru,08/03/2026,07:40,Morning,4.2,8.1,28.8,0.0,,0.0,,,1500.0,2676.0,"Rohu (Labeo rohita), Catla (Catla catla)",700.0,Yes,2026-08-03 07:40:00
ara2_fea90a74,Eluru,08/03/2026,07:38,Morning,4.1,8.26,29.6,0.0,,0.0,,,1000.0,2358.0,"Rohu (Labeo rohita), Catla (Catla catla)",1300.0,Yes,2026-08-03 07:38:00
ara2_b0a5ed5f,Eluru,08/03/2026,07:28,Morning,5.3,8.32,29.3,0.0,,0.0,,,2000.0,1706.0,"Rohu (Labeo rohita), Catla (Catla catla)",1300.0,Yes,2026-08-03 07:28:00
ara2_6af7067d,Eluru,08/03/2026,07:28,Morning,3.9,8.08,28.7,0.0,,0.0,,,1250.0,2129.0,"Rohu (Labeo rohita), Catla (Catla catla)",1100.0,Yes,2026-08-03 07:28:00
ara2_30c31874,Eluru,08/03/2026,07:21,Morning,4.5,8.1,29.3,0.0,,0.0,,,100.0,119048.0,"Rohu (Labeo rohita), Catla (Catla catla)",,Yes,2026-08-03 07:21:00
ara2_27b80a16,Eluru,08/03/2026,07:18,Morning,3.7,8.19,28.7,0.0,,0.0,,,1000.0,2635.0,"Rohu (Labeo rohita), Catla (Catla catla)",1000.0,Yes,2026-08-03 07:18:00
ara2_586ab2f7,Eluru,08/03/2026,07:15,Morning,3.4,8.25,29.5,0.0,,0.0,,,100.0,57143.0,"Rohu (Labeo rohita), Catla (Catla catla)",,Yes,2026-08-03 07:15:00
ara2_8b32e1c5,Eluru,08/03/2026,07:10,Morning,4.0,8.1,28.6,0.0,,0.0,,,750.0,2826.0,"Rohu (Labeo rohita), Catla (Catla catla)",800.0,Yes,2026-08-03 07:10:00
ara2_778970d8,Eluru,08/03/2026,07:08,Morning,3.4,8.27,29.2,0.0,,0.0,,,1500.0,1296.0,"Rohu (Labeo rohita), Catla (Catla catla)",1000.0,Yes,2026-08-03 07:08:00
ara2_368849b6,Eluru,08/03/2026,07:03,Morning,3.3,8.28,29.1,0.0,,0.0,,,1900.0,1406.0,"Rohu (Labeo rohita), Catla (Catla catla)",1500.0,Yes,2026-08-03 07:03:00
ara2_41e97843,Eluru,07/31/2026,16:52,Evening,11.4,8.46,30.0,,,,,,,7092.0,"Rohu (Labeo rohita), Catla (Catla catla)",200.0,Yes,2026-07-31 16:52:00
ara2_048a77e9,Eluru,07/31/2026,16:42,Evening,9.9,8.45,29.9,,,,,,,7813.0,"Rohu (Labeo rohita), Catla (Catla catla)",200.0,Yes,2026-07-31 16:42:00
ara2_8ee1e5e2,Eluru,07/31/2026,16:31,Evening,14.1,8.43,30.0,,,,,,,21552.0,"Rohu (Labeo rohita), Catla (Catla catla)",40.0,Yes,2026-07-31 16:31:00
ara2_296bcb81,Eluru,07/31/2026,16:17,Evening,12.5,8.38,30.1,,,,,,,2857.0,"Rohu (Labeo rohita), Catla (Catla catla)",500.0,Yes,2026-07-31 16:17:00
ara2_ea0cc887,Eluru,07/31/2026,16:08,Evening,13.2,8.47,30.1,,,,,,,2941.0,"Rohu (Labeo rohita), Catla (Catla catla)",400.0,Yes,2026-07-31 16:08:00
ara2_41e97843,Eluru,07/31/2026,07:44,Morning,3.0,8.35,27.6,0.03,,0.25,,,400.0,7092.0,"Rohu (Labeo rohita), Catla (Catla catla)",200.0,Yes,2026-07-31 07:44:00
ara2_048a77e9,Eluru,07/31/2026,07:39,Morning,3.3,8.34,27.6,0.03,,0.25,,,80.0,7813.0,"Rohu (Labeo rohita), Catla (Catla catla)",200.0,Yes,2026-07-31 07:39:00
ara2_8ee1e5e2,Eluru,07/31/2026,07:27,Morning,3.0,8.23,27.6,0.05,,0.5,,,120.0,21552.0,"Rohu (Labeo rohita), Catla (Catla catla)",40.0,Yes,2026-07-31 07:27:00
ara2_296bcb81,Eluru,07/31/2026,07:13,Morning,3.2,8.18,27.5,0.0,,0.0,,,600.0,2857.0,"Rohu (Labeo rohita), Catla (Catla catla)",500.0,Yes,2026-07-31 07:13:00
ara2_ea0cc887,Eluru,07/31/2026,06:57,Morning,3.0,8.37,27.7,0.03,,0.25,,,800.0,2941.0,"Rohu (Labeo rohita), Catla (Catla catla)",400.0,Yes,2026-07-31 06:57:00
ara2_3eab831e,Eluru,07/29/2026,16:18,Evening,9.7,8.31,28.9,,,,,,,5941.0,"Rohu (Labeo rohita), Catla (Catla catla)",50.0,Yes,2026-07-29 16:18:00
ara2_50841581,Eluru,07/29/2026,16:02,Evening,10.0,8.34,28.9,,,,,,,5500.0,"Rohu (Labeo rohita), Catla (Catla catla)",30.0,Yes,2026-07-29 16:02:00
ara2_3eab831e,Eluru,07/29/2026,07:40,Morning,3.5,8.18,28.2,0.0,,0.0,,,150.0,5941.0,"Rohu (Labeo rohita), Catla (Catla catla)",50.0,Yes,2026-07-29 07:40:00
ara2_50841581,Eluru,07/29/2026,07:30,Morning,3.4,8.22,28.1,0.0,,0.0,,,250.0,5500.0,"Rohu (Labeo rohita), Catla (Catla catla)",30.0,Yes,2026-07-29 07:30:00
ara2_dedca16a,Nellore,07/28/2026,17:07,Evening,8.5,8.23,33.1,,,,,,,2920.0,Roopchand,450.0,Yes,2026-07-28 17:07:00
ara2_fc999d29,Nellore,07/28/2026,16:42,Evening,7.7,8.41,32.8,,,,,,,3356.0,Roopchand,950.0,Yes,2026-07-28 16:42:00
ara2_dedca16a,Nellore,07/28/2026,07:28,Morning,3.5,7.78,28.6,0.0,,0.0,,,110.0,2920.0,Roopchand,450.0,Yes,2026-07-28 07:28:00
ara2_fc999d29,Nellore,07/28/2026,07:13,Morning,3.2,8.08,28.1,0.0,,0.0,,,80.0,3356.0,Roopchand,950.0,Yes,2026-07-28 07:13:00
ara2_1b6714d3,Nellore,07/27/2026,17:04,Evening,8.5,8.42,33.2,,,,,,,2857.0,Roopchand,650.0,Yes,2026-07-27 17:04:00
ara2_f4e367af,Nellore,07/27/2026,16:58,Evening,8.0,8.31,33.4,,,,,,,2869.0,Roopchand,500.0,Yes,2026-07-27 16:58:00
ara2_8a37ac9f,Nellore,07/27/2026,16:52,Evening,7.7,8.28,32.9,,,,,,,2451.0,Roopchand,500.0,Yes,2026-07-27 16:52:00
ara2_1b6714d3,Nellore,07/27/2026,06:55,Morning,3.5,8.04,28.3,0.0,,0.0,,,60.0,2857.0,Roopchand,650.0,Yes,2026-07-27 06:55:00
ara2_f4e367af,Nellore,07/27/2026,06:46,Morning,3.2,7.83,28.7,0.0,,0.0,,,50.0,2869.0,Roopchand,500.0,Yes,2026-07-27 06:46:00
ara2_8a37ac9f,Nellore,07/27/2026,06:40,Morning,3.4,7.93,28.5,0.0,,0.0,,,120.0,2451.0,Roopchand,500.0,Yes,2026-07-27 06:40:00
ara2_b0010581,Nellore,07/24/2026,16:27,Evening,7.4,8.37,33.3,,,,,,,2865.0,"Rohu (Labeo rohita), Catla (Catla catla)",150.0,Yes,2026-07-24 16:27:00
ara2_122dd1c9,Nellore,07/24/2026,16:18,Evening,7.9,8.34,32.9,,,,,,,2965.0,"Rohu (Labeo rohita), Catla (Catla catla)",600.0,Yes,2026-07-24 16:18:00
ara2_95c4b2c4,Eluru,07/24/2026,16:15,Evening,8.9,8.28,29.5,,,,,,,2815.0,"Rohu (Labeo rohita), Catla (Catla catla)",900.0,Yes,2026-07-24 16:15:00
ara2_626e23f2,Nellore,07/24/2026,16:06,Evening,9.0,8.16,32.6,,,,,,,2674.0,"Rohu (Labeo rohita), Catla (Catla catla)",400.0,Yes,2026-07-24 16:06:00
ara2_8190e6ec,Eluru,07/24/2026,16:04,Evening,9.2,8.38,29.5,,,,,,,2297.0,"Rohu (Labeo rohita), Catla (Catla catla)",250.0,Yes,2026-07-24 16:04:00
ara2_95c4b2c4,Eluru,07/24/2026,07:40,Morning,3.2,8.15,28.8,0.02,,0.25,,,1100.0,2815.0,"Rohu (Labeo rohita), Catla (Catla catla)",900.0,Yes,2026-07-24 07:40:00
ara2_8190e6ec,Eluru,07/24/2026,07:20,Morning,3.5,8.26,28.7,0.0,,0.0,,,250.0,2297.0,"Rohu (Labeo rohita), Catla (Catla catla)",250.0,Yes,2026-07-24 07:20:00
ara2_626e23f2,Nellore,07/24/2026,07:05,Morning,3.5,7.73,28.9,0.0,,0.0,,,30.0,2674.0,"Rohu (Labeo rohita), Catla (Catla catla)",400.0,Yes,2026-07-24 07:05:00
ara2_122dd1c9,Nellore,07/24/2026,06:54,Morning,3.4,7.83,28.4,0.01,,0.25,,,130.0,2965.0,"Rohu (Labeo rohita), Catla (Catla catla)",600.0,Yes,2026-07-24 06:54:00
ara2_b0010581,Nellore,07/24/2026,06:45,Morning,3.2,7.84,28.6,0.01,,0.25,,,50.0,2865.0,"Rohu (Labeo rohita), Catla (Catla catla)",150.0,Yes,2026-07-24 06:45:00
ara2_fdcc3d9a,Eluru,07/22/2026,16:20,Evening,9.5,8.38,29.9,,,,,,,2963.0,"Rohu (Labeo rohita), Catla (Catla catla)",900.0,Yes,2026-07-22 16:20:00
ara2_ef01d63e,Eluru,07/22/2026,16:10,Evening,8.6,8.41,29.9,,,,,,,2192.0,"Rohu (Labeo rohita), Catla (Catla catla)",1100.0,Yes,2026-07-22 16:10:00
ara2_fdcc3d9a,Eluru,07/22/2026,07:28,Morning,3.4,8.26,28.7,0.0,,0.0,,,650.0,2963.0,"Rohu (Labeo rohita), Catla (Catla catla)",900.0,Yes,2026-07-22 07:28:00
ara2_ef01d63e,Eluru,07/22/2026,07:15,Morning,3.7,8.31,28.6,0.0,,0.0,,,700.0,2192.0,"Rohu (Labeo rohita), Catla (Catla catla)",1100.0,Yes,2026-07-22 07:15:00
ara2_2b34e28c,Eluru,07/21/2026,16:40,Evening,8.5,8.23,29.2,,,,,,,3111.0,"Catla (Catla catla), Rohu (Labeo rohita)",300.0,Yes,2026-07-21 16:40:00
ara2_7e684a8f,Eluru,07/21/2026,16:38,Evening,11.5,8.47,29.9,,,,,,,40541.0,"Rohu (Labeo rohita), Catla (Catla catla)",80.0,Yes,2026-07-21 16:38:00
ara2_d60f166f,Eluru,07/21/2026,16:27,Evening,12.3,8.42,29.8,,,,,,,15556.0,"Rohu (Labeo rohita), Catla (Catla catla)",80.0,Yes,2026-07-21 16:27:00
ara2_733d0028,Eluru,07/21/2026,16:27,Evening,8.1,8.47,29.1,,,,,,,14815.0,"Rohu (Labeo rohita), Catla (Catla catla)",100.0,Yes,2026-07-21 16:27:00
ara2_95c4b2c4,Eluru,07/21/2026,16:20,Evening,8.9,8.55,28.9,,,,,,,2815.0,"Rohu (Labeo rohita), Catla (Catla catla)",900.0,No,2026-07-21 16:20:00
ara2_31503b0c,Eluru,07/21/2026,16:18,Evening,7.8,8.38,29.8,,,,,,,2297.0,"Rohu (Labeo rohita), Catla (Catla catla)",600.0,Yes,2026-07-21 16:18:00
ara2_d8f6a2aa,Eluru,07/21/2026,16:12,Evening,10.8,8.36,28.8,,,,,,,2963.0,"Rohu (Labeo rohita), Catla (Catla catla)",1000.0,Yes,2026-07-21 16:12:00
ara2_b8e096b3,Eluru,07/21/2026,16:10,Evening,5.6,8.43,30.2,,,,,,,2327.0,"Rohu (Labeo rohita), Catla (Catla catla)",700.0,Yes,2026-07-21 16:10:00
ara2_f17bbe2f,Eluru,07/21/2026,16:02,Evening,11.6,8.41,28.8,,,,,,,3000.0,"Rohu (Labeo rohita), Catla (Catla catla)",1100.0,Yes,2026-07-21 16:02:00
ara2_2b34e28c,Eluru,07/21/2026,07:49,Morning,4.0,8.11,29.8,0.0,,0.0,,,1100.0,3111.0,"Catla (Catla catla), Rohu (Labeo rohita)",300.0,Yes,2026-07-21 07:49:00
ara2_733d0028,Eluru,07/21/2026,07:40,Morning,3.7,8.35,29.8,0.0,,0.0,,,250.0,14815.0,"Rohu (Labeo rohita), Catla (Catla catla)",100.0,Yes,2026-07-21 07:40:00
ara2_95c4b2c4,Eluru,07/21/2026,07:31,Morning,4.0,8.41,29.7,0.08,,0.5,,,1250.0,2815.0,"Rohu (Labeo rohita), Catla (Catla catla)",900.0,No,2026-07-21 07:31:00
ara2_7e684a8f,Eluru,07/21/2026,07:28,Morning,3.0,8.32,28.8,0.03,,0.25,,,200.0,40541.0,"Rohu (Labeo rohita), Catla (Catla catla)",80.0,Yes,2026-07-21 07:28:00
ara2_d60f166f,Eluru,07/21/2026,07:18,Morning,3.5,8.3,28.8,0.03,,0.25,,,200.0,15556.0,"Rohu (Labeo rohita), Catla (Catla catla)",80.0,Yes,2026-07-21 07:18:00
ara2_d8f6a2aa,Eluru,07/21/2026,07:17,Morning,3.9,8.2,29.6,0.0,,0.0,,,1000.0,2963.0,"Rohu (Labeo rohita), Catla (Catla catla)",1000.0,Yes,2026-07-21 07:17:00
ara2_f17bbe2f,Eluru,07/21/2026,07:07,Morning,4.3,8.3,29.5,0.0,,0.0,,,500.0,3000.0,"Rohu (Labeo rohita), Catla (Catla catla)",1100.0,Yes,2026-07-21 07:07:00
ara2_31503b0c,Eluru,07/21/2026,06:57,Morning,3.2,8.25,28.9,0.03,,0.25,,,1750.0,2297.0,"Rohu (Labeo rohita), Catla (Catla catla)",600.0,Yes,2026-07-21 06:57:00
ara2_b8e096b3,Eluru,07/21/2026,06:44,Morning,3.3,8.28,29.1,0.03,,0.25,,,1500.0,2327.0,"Rohu (Labeo rohita), Catla (Catla catla)",700.0,Yes,2026-07-21 06:44:00
ara2_3f9ee6c3,Nellore,07/20/2026,16:34,Evening,9.5,8.36,31.9,,,,,,,2975.0,"Roopchand, Rohu (Labeo rohita), Catla (Catla catla)",900.0,Yes,2026-07-20 16:34:00
ara2_9103673b,Eluru,07/20/2026,16:32,Evening,11.1,8.41,30.7,,,,,,,9091.0,"Rohu (Labeo rohita), Catla (Catla catla)",120.0,Yes,2026-07-20 16:32:00
ara2_6ea8e528,Nellore,07/20/2026,16:28,Evening,9.0,8.41,32.4,,,,,,,2857.0,"Rohu (Labeo rohita), Roopchand",750.0,Yes,2026-07-20 16:28:00
ara2_c2394795,Eluru,07/20/2026,16:23,Evening,9.7,8.28,31.3,,,,,,,7937.0,"Rohu (Labeo rohita), Catla (Catla catla)",100.0,Yes,2026-07-20 16:23:00
ara2_d54330d5,Eluru,07/20/2026,16:17,Evening,10.1,8.42,30.7,,,,,,,13208.0,"Rohu (Labeo rohita), Catla (Catla catla)",80.0,Yes,2026-07-20 16:17:00
ara2_00793177,Eluru,07/20/2026,16:14,Evening,9.8,8.35,31.2,,,,,,,2670.0,"Rohu (Labeo rohita), Catla (Catla catla)",300.0,Yes,2026-07-20 16:14:00
ara2_1fcb01f6,Eluru,07/20/2026,16:09,Evening,11.2,8.39,30.6,,,,,,,14286.0,"Rohu (Labeo rohita), Catla (Catla catla)",80.0,Yes,2026-07-20 16:09:00
ara2_e6fe1327,Eluru,07/20/2026,16:01,Evening,10.0,8.31,31.0,,,,,,,22222.0,"Rohu (Labeo rohita), Catla (Catla catla)",50.0,Yes,2026-07-20 16:01:00
ara2_c2394795,Eluru,07/20/2026,07:41,Morning,3.5,8.18,30.1,0.0,,0.0,,,150.0,7937.0,"Rohu (Labeo rohita), Catla (Catla catla)",100.0,Yes,2026-07-20 07:41:00
ara2_00793177,Eluru,07/20/2026,07:33,Morning,3.9,8.25,30.0,0.0,,0.0,,,1700.0,2670.0,"Rohu (Labeo rohita), Catla (Catla catla)",300.0,Yes,2026-07-20 07:33:00
ara2_9103673b,Eluru,07/20/2026,07:29,Morning,3.0,8.29,29.8,0.0,,0.0,,,50.0,9091.0,"Rohu (Labeo rohita), Catla (Catla catla)",120.0,Yes,2026-07-20 07:29:00
ara2_e6fe1327,Eluru,07/20/2026,07:22,Morning,4.8,8.21,29.9,0.0,,0.0,,,1100.0,22222.0,"Rohu (Labeo rohita), Catla (Catla catla)",50.0,Yes,2026-07-20 07:22:00
ara2_d54330d5,Eluru,07/20/2026,07:21,Morning,3.5,8.31,29.8,0.0,,0.0,,,250.0,13208.0,"Rohu (Labeo rohita), Catla (Catla catla)",80.0,Yes,2026-07-20 07:21:00
ara2_3f9ee6c3,Nellore,07/20/2026,07:14,Morning,4.0,7.98,27.9,0.0,,0.0,,30.0,120.0,2975.0,"Roopchand, Rohu (Labeo rohita), Catla (Catla catla)",900.0,Yes,2026-07-20 07:14:00
ara2_6ea8e528,Nellore,07/20/2026,07:05,Morning,3.9,8.06,28.3,0.0,,0.0,,28.0,100.0,2857.0,"Rohu (Labeo rohita), Roopchand",750.0,Yes,2026-07-20 07:05:00
ara2_1fcb01f6,Eluru,07/20/2026,07:04,Morning,3.3,8.28,29.7,0.0,,0.0,,,200.0,14286.0,"Rohu (Labeo rohita), Catla (Catla catla)",80.0,Yes,2026-07-20 07:04:00
ara2_b001208b,Eluru,07/18/2026,16:15,Evening,10.5,8.28,30.3,,,,,,,6000.0,"Rohu (Labeo rohita), Catla (Catla catla)",250.0,Yes,2026-07-18 16:15:00
ara2_f0f921b2,Eluru,07/18/2026,16:03,Evening,10.8,8.38,30.2,,,,,,,7143.0,"Rohu (Labeo rohita), Catla (Catla catla)",250.0,Yes,2026-07-18 16:03:00
ara2_b001208b,Eluru,07/18/2026,07:33,Morning,3.1,8.15,29.3,0.02,,0.25,,,550.0,6000.0,"Rohu (Labeo rohita), Catla (Catla catla)",250.0,Yes,2026-07-18 07:33:00
ara2_f0f921b2,Eluru,07/18/2026,07:15,Morning,3.2,8.28,29.2,0.03,,0.25,,,80.0,7143.0,"Rohu (Labeo rohita), Catla (Catla catla)",250.0,Yes,2026-07-18 07:15:00
ara2_148f1633,Eluru,07/17/2026,16:20,Evening,8.9,8.37,31.2,,,,,,,1333.0,"Rohu (Labeo rohita), Catla (Catla catla)",500.0,Yes,2026-07-17 16:20:00
ara2_858b914c,Eluru,07/17/2026,16:10,Evening,9.5,8.27,31.2,,,,,,,20000.0,"Rohu (Labeo rohita), Catla (Catla catla)",50.0,Yes,2026-07-17 16:10:00
ara2_148f1633,Eluru,07/17/2026,07:40,Morning,3.2,8.17,29.4,0.0,,0.0,,,550.0,1333.0,"Rohu (Labeo rohita), Catla (Catla catla)",500.0,Yes,2026-07-17 07:40:00
ara2_858b914c,Eluru,07/17/2026,07:30,Morning,3.2,8.12,29.3,0.0,,0.0,,,250.0,20000.0,"Rohu (Labeo rohita), Catla (Catla catla)",50.0,Yes,2026-07-17 07:30:00
ara2_3f9ee6c3,Nellore,07/16/2026,17:12,Evening,9.0,9.43,34.8,,,,,,,2975.0,"Roopchand, Rohu (Labeo rohita), Catla (Catla catla)",900.0,No,2026-07-16 17:12:00
ara2_6ea8e528,Nellore,07/16/2026,17:07,Evening,8.4,9.34,34.5,,,,,,,2857.0,"Rohu (Labeo rohita), Roopchand",750.0,No,2026-07-16 17:07:00
ara2_bf22ac2f,Nellore,07/16/2026,16:54,Evening,10.9,8.28,33.7,,,,,,,2980.0,"Rohu (Labeo rohita), Catla (Catla catla)",450.0,Yes,2026-07-16 16:54:00
ara2_7a7eace1,Eluru,07/16/2026,16:35,Evening,8.3,8.48,32.4,,,,,,,3432.0,"Rohu (Labeo rohita), Catla (Catla catla)",,Yes,2026-07-16 16:35:00
ara2_3c745150,Eluru,07/16/2026,16:31,Evening,11.9,8.46,31.9,,,,,,,7579.0,"Rohu (Labeo rohita), Catla (Catla catla)",250.0,Yes,2026-07-16 16:31:00
ara2_ff85ba57,Eluru,07/16/2026,16:28,Evening,11.3,8.43,31.8,,,,,,,1705.0,"Rohu (Labeo rohita), Catla (Catla catla)",750.0,Yes,2026-07-16 16:28:00
ara2_29660d32,Eluru,07/16/2026,16:20,Evening,9.5,8.49,31.8,,,,,,,2652.0,"Rohu (Labeo rohita), Catla (Catla catla)",700.0,Yes,2026-07-16 16:20:00
ara2_2bd14b5a,Eluru,07/16/2026,16:18,Evening,14.4,8.41,31.9,,,,,,,1852.0,"Rohu (Labeo rohita), Catla (Catla catla)",1000.0,Yes,2026-07-16 16:18:00
ara2_771be42c,Eluru,07/16/2026,16:07,Evening,13.2,8.41,32.2,,,,,,,5000.0,"Rohu (Labeo rohita), Catla (Catla catla)",250.0,Yes,2026-07-16 16:07:00
ara2_7a7eace1,Eluru,07/16/2026,07:32,Morning,3.1,8.05,29.8,0.0,,0.0,,,300.0,3432.0,"Rohu (Labeo rohita), Catla (Catla catla)",,Yes,2026-07-16 07:32:00
ara2_3c745150,Eluru,07/16/2026,07:28,Morning,3.5,8.22,29.8,0.03,,0.25,,,320.0,7579.0,"Rohu (Labeo rohita), Catla (Catla catla)",250.0,Yes,2026-07-16 07:28:00
ara2_ff85ba57,Eluru,07/16/2026,07:25,Morning,3.3,8.27,30.0,0.0,,0.0,,,1500.0,1705.0,"Rohu (Labeo rohita), Catla (Catla catla)",750.0,Yes,2026-07-16 07:25:00
ara2_2bd14b5a,Eluru,07/16/2026,07:16,Morning,3.2,8.31,29.8,0.03,,0.25,,,1500.0,1852.0,"Rohu (Labeo rohita), Catla (Catla catla)",1000.0,Yes,2026-07-16 07:16:00
ara2_29660d32,Eluru,07/16/2026,07:10,Morning,3.1,8.33,29.9,0.0,,0.0,,,1100.0,2652.0,"Rohu (Labeo rohita), Catla (Catla catla)",700.0,Yes,2026-07-16 07:10:00
ara2_bf22ac2f,Nellore,07/16/2026,06:57,Morning,4.2,7.78,29.7,0.0,,0.0,,,800.0,2980.0,"Rohu (Labeo rohita), Catla (Catla catla)",450.0,Yes,2026-07-16 06:57:00
ara2_771be42c,Eluru,07/16/2026,06:53,Morning,3.0,8.29,29.7,0.0,,0.0,,,300.0,5000.0,"Rohu (Labeo rohita), Catla (Catla catla)",250.0,Yes,2026-07-16 06:53:00
ara2_3f9ee6c3,Nellore,07/16/2026,06:39,Morning,3.5,8.61,30.4,0.0,,0.0,,,120.0,2975.0,"Roopchand, Rohu (Labeo rohita), Catla (Catla catla)",900.0,No,2026-07-16 06:39:00
ara2_6ea8e528,Nellore,07/16/2026,06:32,Morning,3.7,8.56,30.1,0.0,,0.0,,,100.0,2857.0,"Rohu (Labeo rohita), Roopchand",750.0,No,2026-07-16 06:32:00
ara2_b245aae1,Eluru,07/15/2026,16:25,Evening,10.6,8.4,31.7,,,,,,,1941.0,"Rohu (Labeo rohita), Catla (Catla catla)",700.0,Yes,2026-07-15 16:25:00
ara2_725e7f3b,Eluru,07/15/2026,16:25,Evening,12.1,8.41,31.7,,,,,,,2957.0,"Rohu (Labeo rohita), Catla (Catla catla)",300.0,Yes,2026-07-15 16:25:00
ara2_cd998399,Eluru,07/15/2026,16:20,Evening,10.0,8.38,31.7,,,,,,,2574.0,"Rohu (Labeo rohita), Catla (Catla catla)",500.0,Yes,2026-07-15 16:20:00
ara2_b001208b,Eluru,07/15/2026,16:15,Evening,11.6,9.06,31.6,,,,,,,6000.0,"Rohu (Labeo rohita), Catla (Catla catla)",250.0,No,2026-07-15 16:15:00
ara2_84b6fb93,Eluru,07/15/2026,16:00,Evening,11.6,8.47,31.5,,,,,,,2547.0,"Rohu (Labeo rohita), Catla (Catla catla)",,Yes,2026-07-15 16:00:00
ara2_cd998399,Eluru,07/15/2026,07:55,Morning,3.1,8.15,30.0,0.0,,0.0,,,1000.0,2574.0,"Rohu (Labeo rohita), Catla (Catla catla)",500.0,Yes,2026-07-15 07:55:00
ara2_725e7f3b,Eluru,07/15/2026,07:45,Morning,3.3,8.22,30.2,0.0,,0.0,,,1000.0,2957.0,"Rohu (Labeo rohita), Catla (Catla catla)",300.0,Yes,2026-07-15 07:45:00
ara2_b245aae1,Eluru,07/15/2026,07:29,Morning,3.5,8.22,28.5,0.0,,0.0,,,750.0,1941.0,"Rohu (Labeo rohita), Catla (Catla catla)",700.0,Yes,2026-07-15 07:29:00
ara2_84b6fb93,Eluru,07/15/2026,07:22,Morning,3.7,8.22,30.0,0.03,,0.25,,,1000.0,2547.0,"Rohu (Labeo rohita), Catla (Catla catla)",,Yes,2026-07-15 07:22:00
ara2_b001208b,Eluru,07/15/2026,07:14,Morning,0.6,8.85,28.3,0.33,,1.0,,,550.0,6000.0,"Rohu (Labeo rohita), Catla (Catla catla)",250.0,No,2026-07-15 07:14:00
ara2_6ec2f0e5,Eluru,07/14/2026,16:34,Evening,10.7,8.48,31.5,,,,,,,121359.0,"Rohu (Labeo rohita), Catla (Catla catla)",150.0,Yes,2026-07-14 16:34:00
