pond_id,region,Event date,Initial entry,Pond status,Type,Logged by,Data verification method,Data verified by,Data verification notes,Lifecycle,Current fish stocking density per acre,Current shrimp stocking density per acre,Species,Species ratio,Reported target weight in grams,Communicated stock density limit,Average fish weight (in grams),Average weight of Catla (Catla catla) (in grams),Average weight of Rohu (Labeo rohita) (in grams),Average weight of Mrigal (Cirrhinus cirrhosus) (in grams),Average weight of Grass Carp (Ctenopharyngodon idella) (in grams),Average weight of Common Carp (Cyprinus carpio) (in grams),Average weight of Roopchand (in grams),Average weight of Whiteleg Shrimp (Litopenaeus vannamei) (in grams),Average weight of Pangasius (in grams),Intended fish stocking density (per acre),Intended fish stocking density (entire pond),Actual fish stocking density (per acre),Fish stocking density (entire pond),Fish purchases diverted,Intended shrimp stocking density (per acre),Intended shrimp stocking density (entire pond),Actual shrimp stocking density (per acre),Actual shrimp stocking density (entire pond),Shrimp purchases diverted,Did the farmer do pond preparation?,Explain what the farmer did for pond preparation,Harvest reason,"Fish harvested (total, in kg)","Shrimp harvested (total, in kg)","Fish left in the pond (total, in individuals)","Shrimp left in the pond (total, in individuals)",Is the farmer planning to do pond preparation?,Explain what the farmer is planning to do for pond preparation,Notes,Lifecycle is updated accordingly on the master doc,Created at
ara2_6452000e,Eluru,07/04/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Nursery,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,100,,100,,,,,,,,,,,,,,,,,,,Planned sale,,,,,,,29000 fishes were transferred to their breed out ponds,Yes,07/10/2026 07:17
ara2_c2394795,Eluru,07/04/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,7937,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250,12000,100,,100,,,,,,,7937,50000,7937,50000,0,,,,,,,,,,,,,,,,Yes,07/10/2026 07:14
ara2_0206e1e9,Eluru,07/03/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,7246,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250,12000,20,,20,,,,,,,7246,100000,7246,100000,0,,,,,,,,,,,,,,,,Yes,07/09/2026 12:33
ara2_b3d128ac,Eluru,07/02/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2205,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200,2500,200,,200,,,,,,,2205,97000,2205,97000,0,,,,,,,,,,,,,,,,Yes,07/10/2026 07:27
ara2_3eab831e,Eluru,07/02/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,200,,200,,,,,,,,,,,,,,,,,,,Planned harvest,,,,,,,50000 fishes were transferred to their grow out ponds. 1000 fishes were lost to predation or counting errors.,Yes,07/10/2026 07:23
ara2_c2394795,Eluru,07/02/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,300,,300,,,,,,,,,,,,,,,,,,,Planned harvest,,,,,,,66000 fishes were transferred to grow out ponds,Yes,07/10/2026 07:10
ara2_32b91757,Eluru,07/02/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,300,,300,,,,,,,,,,,,,,,,,,,Planned harvest,,,,,,,55000 fishes were transferred to their grow out ponds,Yes,07/10/2026 07:08
ara2_00793177,Eluru,07/02/2026,No,Control,Stocking,Chaitanya,Verbal communication,,,Grow-out,2670,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000,3000,300,,300,,,,,,,2670,98000,2670,98000,0,,,,,,,,,,,,,,,,Yes,07/10/2026 07:04
ara2_00793177,Eluru,06/30/2026,No,Control,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1280,,1280,,,,,,,,,,,,,,,,,,,Planned harvest,115000,,,,,,,Yes,07/10/2026 07:00
ara2_3a8fffae,Eluru,06/29/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1300,,1300,,,,,,,,,,,,,,,,,,,Planned harvest,60000,,,,,,,Yes,07/06/2026 04:59
ara2_e985ca4a,Eluru,06/28/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,6793,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250,12000,50,,50,,,,,,,6793,50000,6793,50000,0,,,,,,,,,,,,,,,,Yes,07/06/2026 04:39
ara2_725e7f3b,Eluru,06/27/2026,No,Control,Stocking,Chaitanya,Verbal communication,,,Grow-out,2957,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000,3000,300,,300,,,,,,,2957,70000,2957,70000,0,,,,,,,,,,,,,,,,Yes,07/10/2026 06:32
ara2_b3d128ac,Eluru,06/26/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1600,,1600,,,,,,,,,,,,,,,,,,,Planned harvest,160000,,,,,,,Yes,07/10/2026 07:25
ara2_7129732d,Eluru,06/26/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,1458,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1500,2000,600,,600,,,,,,,1458,70000,1458,70000,0,,,,,,,,,,,,,,,,Yes,07/06/2026 04:36
ara2_807df397,Eluru,06/26/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,11111,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,200,15000,80,,80,,,,,,,11111,200000,11111,200000,0,,,,,,,,,,,,,,,,Yes,07/06/2026 04:32
ara2_37556c00,Nellore,06/25/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,950,,950,,,,,,,,,,,,,,,,,,,Planned harvest,2100,,,,1,Sun dry the pond bottom,,Yes,07/03/2026 04:51
ara2_bbfca80b,Nellore,06/25/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,900,,900,,,,,,,,,,,,,,,,,,,Planned harvest,2000,,,,1,Sun dry the pond bottom,,Yes,07/03/2026 04:48
ara2_e74f26b3,Eluru,06/23/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2414,,"Rohu (Labeo rohita), Catla (Catla catla)",.9:1,1200,2500,300,,300,,,,,,,2414,40000,2414,40000,0,,,,,,,,,,,,,,,,Yes,07/06/2026 04:52
ara2_41e97843,Eluru,06/22/2026,Yes,,Stocking,Chaitanya,,,,Breed-out,7092,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,300,10000,,,100,,,,,,,7092,,7092,,0,,,,,,,,,,,,,,,,,07/30/2026 06:39
ara2_048a77e9,Eluru,06/22/2026,Yes,,Stocking,Chaitanya,,,,Breed-out,7813,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,300,10000,,,100,,,,,,,7813,,7813,,0,,,,,,,,,,,,,,,,,07/30/2026 06:36
ara2_ea0cc887,Eluru,06/22/2026,Yes,,Stocking,Chaitanya,,,,Grow-out,2941,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000,3000,,,300,,,,,,,2941,,2941,,0,,,,,,,,,,,,,,,,,07/30/2026 06:24
ara2_e6fe1327,Eluru,06/20/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Rearing,22222,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,100,,30,,30,,,,,,,22222,500000,22222,500000,0,,,,,,,,,,,,,,,,Yes,07/10/2026 07:33
ara2_3b2f3973,Eluru,06/17/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,500,,500,,,,,,,,,,,,,,,,,,,Planned harvest,,,,,1,Sun drying the pond bottom,130000 fishes were sold to grow-out farmers,Yes,07/10/2026 07:21
ara2_725e7f3b,Eluru,06/17/2026,No,Control,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1200,,1200,,,,,,,,,,,,,,,,,,,Planned harvest,80000,,,,,,,Yes,07/10/2026 06:30
ara2_b0010581,Nellore,06/16/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2865,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000,3000,50,,50,,,,,,,2865,10000,2865,10000,0,,,,,,,,,,,,,,,,Yes,07/03/2026 05:11
ara2_f5e499f4,Eluru,06/15/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,250,,250,,,,,,,,,,,,,,,,,,,Planned harvest,,,,,,,8000 fishes were lost to predation and counting errors.,Yes,07/06/2026 04:46
ara2_51ee6ab1,Nellore,06/13/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,800,,800,,,,,,,,,,,,,,,,,,,Planned harvest,1120,,,,1,Sun dry the pond bottom,,Yes,07/03/2026 05:01
ara2_0206e1e9,Eluru,06/13/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1100,,1100,,,,,,,,,,,,,,,,,,,Planned harvest,45000,,,,,,,Yes,06/19/2026 04:44
ara2_4e2f7bb0,Eluru,06/12/2026,No,Control,Stocking,Chaitanya,Verbal communication,,,Grow-out,1631,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1500,2000,200,,200,,,,,,,1631,53000,1631,53000,0,,,,,,,,,,,,,,,,Yes,06/18/2026 06:35
ara2_807df397,Eluru,06/10/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,180,,180,,,,,,,,,,,,,,,,,,,Planned harvest,,,,,,,140000 fishes were transferred to their own grow out ponds,Yes,06/16/2026 05:07
ara2_e74f26b3,Eluru,06/08/2026,No,Control,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1400,,1400,,,,,,,,,,,,,,,,,,,Planned harvest,60000,,,,,,,Yes,06/19/2026 04:37
ara2_cd998399,Eluru,06/08/2026,No,Control,Stocking,Chaitanya,Verbal communication,,,Grow-out,2574,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000,3000,400,,400,,,,,,,2574,70000,2574,70000,0,,,,,,,,,,,,,,,,Yes,06/16/2026 05:01
ara2_4e2f7bb0,Eluru,06/07/2026,No,Control,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,2000,,2000,,,,,,,,,,,,,,,,,,,Planned harvest,120000,,,,,,,Yes,06/18/2026 06:33
ara2_970ce848,Eluru,06/06/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1060,1800,1000,,,,,,,,,,,,,,,,,,,Planned harvest,64000,,,,,,,Yes,06/19/2026 04:42
ara2_cd288d30,Nellore,06/05/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2857,,Roopchand,10,1000,3000,40,,,,,,40,,,2857,2000,2857,2000,0,,,,,,1,Sun dried the pond bottom and added bleach,,,,,,,,,Yes,06/05/2026 05:17
ara2_8190e6ec,Eluru,06/04/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2297,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000,3000,250,,250,,,,,,,2297,8500,2297,8500,0,,,,,,1,Pond was emptied and sun dried,,,,,,,,,Yes,07/30/2026 05:30
ara2_7129732d,Eluru,06/04/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1000,,1000,,,,,,,,,,,,,,,,,,,Planned harvest,90000,,,,,,,Yes,06/16/2026 05:03
ara2_0c7bd285,Nellore,06/03/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2956,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000,3000,200,,200,,,,,,,2956,6000,2956,6000,0,,,,,,1,"Sun dry the pond bottom, removed sludge",,,,,,,,,Yes,07/03/2026 05:05
ara2_94eeabd8,Eluru,06/03/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2242,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200,2500,400,400,400,,,,,,,2242,100000,2242,100000,0,,,,,,,,,,,,,,,,Yes,06/16/2026 04:56
ara2_9103673b,Eluru,06/02/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,9091,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250,12000,20,,20,,,,,,,9091,10000,9091,10000,0,,,,,,,,,,,,,,,,Yes,06/23/2026 11:55
ara2_d54330d5,Eluru,06/02/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,13208,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,200,15000,20,,20,,,,,,,13208,70000,13208,70000,0,,,,,,,,,,,,,,,,Yes,06/23/2026 11:47
ara2_1fcb01f6,Eluru,06/02/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,14286,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,200,15000,20,,20,,,,,,,14286,60000,14286,60000,0,,,,,,,,,,,,,,,,Yes,06/23/2026 11:41
ara2_f5dabd1c,Eluru,06/02/2026,No,Control,Stocking,Chaitanya,Verbal communication,,,Grow-out,2963,,"Catla (Catla catla), Rohu (Labeo rohita)",9:1,1000,3000,500,,500,,,,,,,2963,40000,2963,40000,0,,,,,,,,,,,,,,,,Yes,06/16/2026 05:21
ara2_844ff6fe,Eluru,06/02/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1000,1500,1000,,,,,,,,,,,,,,,,,,,Planned harvest,30000,,,,,,,Yes,06/16/2026 05:09
ara2_50841581,Eluru,05/31/2026,No,Treatment,Partial harvest,Chaitanya,Verbal communication,,,Breed-out,4000,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,400,,400,,,,,,,,,,,,,,,,,,,Planned harvest,,,80000,,,,100000 fishes were sold to grow out farmers,Yes,06/01/2026 05:53
ara2_573a2826,Eluru,05/30/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,6000,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,250,12000,10,,10,,,,,,,6000,30000,6000,30000,0,,,,,,,,,,,,,,,,Yes,06/18/2026 06:43
ara2_574a8c09,Eluru,05/30/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2640,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000,3000,500,,500,,,,,,,2640,85000,2640,85000,0,,,,,,,,,,,,,,,,Yes,06/01/2026 07:12
ara2_c9cdacda,Eluru,05/28/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,400,,400,,,,,,,,,,,,,,,,,,,Planned harvest,,,,,,,120000 fishes were sold to grow out farmers,Yes,07/10/2026 07:35
ara2_6ca69422,Eluru,05/27/2026,No,Control,Stocking,Chaitanya,Verbal communication,,,Grow-out,2717,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000,3000,400,,400,,,,,,,2717,25000,2717,25000,0,,,,,,,,,,,,,,,,Yes,06/01/2026 06:42
ara2_98d96403,Nellore,05/26/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,Roopchand,,,,920,,,,,,920,,,,,,,,,,,,,,,Planned harvest,2300,,0,,1,Sun dried the pond bottom and added bleach,,Yes,06/05/2026 05:29
ara2_6857ac3f,Eluru,05/25/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,350,,350,,,,,,,,,,,,,,,,,,,Planned sale,,,,,,,27000 fishes were sold to other grow out farmers. 3000 fishes were lost to predation and counting errors,Yes,07/10/2026 06:37
ara2_f5dabd1c,Eluru,05/25/2026,No,Control,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1150,2000,1100,,,,,,,,,,,,,,,,,,,Planned harvest,40000,,,,,,,Yes,06/16/2026 05:15
ara2_58b844c7,Eluru,05/25/2026,Yes,,Stocking,Chaitanya,,,,Grow-out,2182,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000,3000,,,200,,,,,,,,,2182,,,,,,,,,,,,,,,,,,,06/05/2026 04:03
ara2_b32cef11,Eluru,05/25/2026,No,Control,Stocking,Chaitanya,Verbal communication,,,Grow-out,1984,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1500,2000,200,,200,,,,,,,1984,49000,1984,49000,0,,,,,,,,,,,,,,,,Yes,06/01/2026 05:34
ara2_e6fe1327,Eluru,05/23/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1500,,1500,,,,,,,,,,,,,,,,,,,Planned harvest,73000,,,,,,,Yes,06/01/2026 05:45
ara2_296bcb81,Eluru,05/22/2026,Yes,,Stocking,Chaitanya,,,,Grow-out,2857,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000,3000,,,300,,,,,,,2857,,2857,,0,,,,,,,,,,,,,,,,,07/30/2026 06:29
ara2_0b1b03bb,Eluru,05/21/2026,No,Treatment,Partial harvest,Chaitanya,Verbal communication,,,Breed-out,9711,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,200,,200,,,,,,,,,,,,,,,,,,,Planned harvest,,,,,,,73000 fishes were transferred to their own grow out ponds,Yes,05/28/2026 08:20
ara2_aa21af30,Eluru,05/21/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2303,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1200,2500,200,,200,,,,,,,2303,38000,2303,38000,0,,,,,,,,,,,,,,,,Yes,05/28/2026 08:12
ara2_94eeabd8,Eluru,05/20/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1100,,1100,,,,,,,,,,,,,,,,,,,Planned harvest,105000,,,,,,,Yes,06/01/2026 07:15
ara2_27f8f56a,Eluru,05/20/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1400,,1400,,,,,,,,,,,,,,,,,,,Planned harvest,140000,,,,,,,Yes,06/01/2026 06:31
ara2_f5124b92,Eluru,05/20/2026,No,Control,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1200,,1200,,,,,,,,,,,,,,,,,,,Planned harvest,30000,,,,,,,Yes,06/01/2026 06:27
ara2_b001208b,Eluru,05/20/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Breed-out,6000,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,300,10000,80,,80,,,,,,,6000,60000,6000,60000,0,,,,,,,,,,,,,,,,Yes,06/01/2026 05:42
ara2_31afc592,Eluru,05/20/2026,No,Treatment,Stocking,Chaitanya,Verbal communication,,,Grow-out,2783,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,1000,3000,300,,300,,,,,,,2783,45000,2783,45000,0,,,,,,,,,,,,,,,,Yes,05/25/2026 04:24
ara2_cd998399,Eluru,05/18/2026,No,Control,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1300,,1300,,,,,,,,,,,,,,,,,,,Planned harvest,85000,,,,,,,Yes,06/01/2026 06:16
ara2_b32cef11,Eluru,05/18/2026,No,Control,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1600,,1600,,,,,,,,,,,,,,,,,,,Planned harvest,95000,,,,,,,Yes,05/28/2026 08:14
ara2_e985ca4a,Eluru,05/17/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,300,,300,,,,,,,,,,,,,,,,,,,Planned harvest,,,,,,,45000 fishes were sold to grow out farmers,Yes,06/01/2026 06:22
ara2_fe1074da,Nellore,05/16/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,Roopchand,,,,960,,,,,,960,,,,,,,,,,,,,,,Planned harvest,10560,,,,1,Sun dried the pond bottom and removed sludge,,Yes,06/05/2026 05:26
ara2_f33085c0,Eluru,05/15/2026,Yes,,Stocking,Chaitanya,,,,Grow-out,1463,,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,2000,1500,,,500,,,,,,,,,1463,,,,,,,,,,,,,,,,,,,06/05/2026 04:17
ara2_65a854d9,Nellore,05/14/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1000,,1000,,,,,,,,,,,,,,,,,,,Planned harvest,18000,,,,1,Sun dry the pond bottom,,Yes,07/03/2026 04:44
ara2_aa21af30,Eluru,05/11/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,1200,,1200,,,,,,,,,,,,,,,,,,,Planned harvest,50000,,,,,,,Yes,05/28/2026 08:09
ara2_1d5dce9e,Eluru,05/06/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Breed-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,350,,350,,,,,,,,,,,,,,,,,,,Planned harvest,,,,,1,Sun dry the pond bottom,33000 fishes were sold to grow out farmers. Farmer said approx 2000 fishes were lost to predation and mortalities,Yes,06/01/2026 06:00
ara2_d60f166f,Eluru,05/05/2026,Yes,,Stocking,Chaitanya,,,,Breed-out,15556,0,"Rohu (Labeo rohita), Catla (Catla catla)",9:1,150,20000,,,20,,,,,,,,,15556,,,,,,,,,,,,,,,,,,,06/23/2026 10:42
ara2_5a3d15dd,Nellore,05/05/2026,No,Treatment,Harvest,Chaitanya,Verbal communication,,,Grow-out,0,,"Rohu (Labeo rohita), Catla (Catla catla)",,,,960,,960,,,,,,,,,,,,,,,,,,,Planned harvest,1450,,,,1,"Sun dried the pond bottom, removed sludge and strengthened the dykes",,Yes,06/05/2026 05:24
